drill_id,site_id,scheduled_date,completed,passed,evac_time_seconds
1,1,2025-08-16,True,True,184
2,1,2023-03-11,False,False,164
3,1,2022-12-20,False,False,212
4,1,2025-03-06,True,True,175
5,1,2023-01-04,False,False,182
6,1,2024-11-27,True,True,139
7,1,2025-08-03,True,True,145
8,1,2023-05-31,True,True,120
9,1,2024-07-25,True,True,153
10,1,2023-06-04,True,True,147
11,1,2022-09-24,False,False,226
12,1,2023-10-11,True,True,148
13,1,2024-12-12,False,False,212
14,1,2024-04-14,True,True,151
15,1,2023-08-28,True,False,125
16,1,2023-12-01,True,False,182
17,1,2025-08-07,True,True,142
18,1,2025-01-13,True,True,162
19,1,2022-12-10,True,False,212
20,1,2023-01-16,True,True,154
21,1,2023-05-23,False,False,148
22,1,2023-06-13,True,True,179
23,1,2023-06-03,True,True,179
24,1,2024-08-24,False,False,192
25,1,2023-05-26,True,True,130
26,1,2025-07-04,False,False,183
27,1,2023-03-11,False,False,188
28,1,2023-06-14,True,True,133
29,1,2025-02-16,True,True,139
30,1,2023-04-02,True,True,124
31,1,2024-04-24,True,True,144
32,1,2025-03-16,True,True,112
33,1,2024-10-04,True,True,116
34,1,2023-10-08,True,True,157
35,1,2024-07-09,False,False,203
36,1,2023-12-17,True,True,148
37,2,2024-03-07,True,True,171
38,2,2024-10-17,True,True,147
39,2,2024-01-23,True,True,155
40,2,2024-11-20,True,True,142
41,2,2024-01-22,False,False,201
42,2,2023-03-11,True,True,155
43,2,2024-10-29,True,True,177
44,2,2022-10-16,True,True,94
45,2,2025-08-26,True,True,153
46,2,2024-04-02,False,False,197
47,2,2023-07-07,True,True,163
48,2,2024-06-13,False,False,192
49,2,2025-03-22,True,True,179
50,2,2024-03-04,True,True,165
51,2,2023-07-25,True,True,89
52,2,2024-05-12,True,True,149
53,2,2024-02-27,True,True,204
54,2,2023-10-26,True,True,169
55,2,2023-08-14,True,True,160
56,2,2025-07-06,False,False,163
57,2,2025-05-11,False,False,209
58,2,2023-11-17,True,True,126
59,2,2024-10-07,True,False,210
60,2,2024-05-21,False,False,184
61,2,2023-02-11,True,True,137
62,2,2024-11-21,False,False,143
63,2,2023-05-26,True,True,172
64,2,2022-09-18,True,True,120
65,2,2023-10-12,True,True,133
66,2,2023-08-10,False,False,143
67,2,2024-11-13,False,False,172
